order,video_id,topic_category,hook_type,pacing_speed,duration_sec,views,likes,shares,comments,saves,engagement_rate_pct,title,url
311,"7285334127065255169","BEHIND_THE_SCENES_BISNES","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Iphone 15 Pro dah sampai and dah 3 hari keluar rumah shoot and edit untuk siapkan video ni 🥹 Sample footage from iPhone 15 Pro ada kat dalam ni. Ni first time aku buat video untuk tech. Harap-harap tak salah info haha. Enjoy the videooo!   created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7285334127065255169"
312,"7278534737591930113","RESEPI_VIRAL_HARIAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Ayam Goreng Bawang Putih viral campur dengan Telur Itik Masak Lemak Cili Api. Sedap weh masak untuk lunch dengan dinner 🥹 #makanlokal #foodfestontiktok #foodtok  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7278534737591930113"
313,"7277871416240868609","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Cekodok pisang di petang hari. Dapnyeee 🥹 #makanlokal #foodfestontiktok #foodtok  created by Khairulaming with moshimo sound design’s Chopin Nocturne No. 2 Piano Mono","https://www.tiktok.com/@khairulaming/video/7277871416240868609"
314,"7275615462279400706","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Jualan Sambal Nyet dah mencecah 2.4 juta botol iaitu bersamaan dgn jualan sebanyak Rm 33.5 juta ringgit. Sekarang production dah dinaikkan ke 7,000 botol sehari dan jualan juga dikembangkan ke live commerce. Terima kasih kepada anda semua yang support kita dari 3 tahun yang lepas 🥺🙏🏻 #makanlokal #foodfestontiktok #TikTokShop99ShoppingFiesta  created by Khairulaming with Ramol’s Dream Away","https://www.tiktok.com/@khairulaming/video/7275615462279400706"
315,"7282593098587311361","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",0,2800000,206200,2669,1638,5167,8.08,"Hari ni genap 31 tahun berada di muka bumi ni. Selamat hari jadi diucapkan kepada diri sendiri 🥹 thank you guys for everything 🙏🏻","https://www.tiktok.com/@khairulaming/video/7282593098587311361"
316,"7272596511303765250","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Ini resepi mudah untuk buat Cheezy Korean Chicken. Seriously sedap korang kena try 😁: 1 paket Tyson Chicken Karaage 2 sudu gochujang 1 sudu gula perang 1/2 sudu kicap manis 2 sudu madu 1/2 sudu cuka 1/2 cawan air 1 blok keju mozzarella  2-3 sudu susu segar Jangan lupa dapatkan Tyson Chicken Karaage di kedai berdekatan dengan korang. Rasa dia sangat sedap, ayam crispy dan juicy. Nak buat makan sebagai snek pun boleh jugakk 😁 #makanlokal #foodfestontiktok #foodtok   created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7272596511303765250"
317,"7272104650520775938","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Terima kasih di atas sokongan anda semua. Ini award pertama saya dapat selepas 8 tahun membuat digital content. Award ni untuk korang semua 🥺❤️ #TikTokAwardsMY #ForYouMalaysia  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7272104650520775938"
318,"7269374814719118594","BEHIND_THE_SCENES_BISNES","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Wakil rakyat Parti Nyet. Jangan lupa undi KA untuk Creator of The Year 🙏🏻🥹 #RoadToTikTokAwardsMY #TikTokAwardsMY #ForYouMalaysia  created by Khairulaming with Dayang Nurfaizah’s Nak Dara Rindu","https://www.tiktok.com/@khairulaming/video/7269374814719118594"
319,"7268587095785016577","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Semalam jumpa 5 kawan baru. Comel comel semuanya. Dapat la masak sikit bagi diaorang makan 🐶 Gonna miss you Along, Ashu, Shasha dan lain-lain.  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7268587095785016577"
320,"7264135041972768008","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Sedikit sebanyak kisah saya menjadi seorang content creator 🙏🏻 Terima kasih di atas sokongan anda semua.  #RoadToTikTokAwardsMY #TikTokAwardsMY #ForYouMalaysia  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7264135041972768008"
